,seconds,date,hr,diff
357,276.802,[2023-09-08 19:23:29 939],68.0,0.5
358,277.302,[2023-09-08 19:23:30 439],68.0,0.5
359,277.802,[2023-09-08 19:23:30 939],68.0,0.5
360,278.302,[2023-09-08 19:23:31 439],68.0,0.5
361,278.802,[2023-09-08 19:23:31 939],68.0,0.5
362,279.302,[2023-09-08 19:23:32 439],68.0,0.5
363,279.802,[2023-09-08 19:23:32 939],68.0,0.5
364,280.302,[2023-09-08 19:23:33 439],67.0,0.5
365,280.802,[2023-09-08 19:23:33 939],67.0,0.5
366,281.302,[2023-09-08 19:23:34 439],66.0,0.5
367,281.802,[2023-09-08 19:23:34 939],66.0,0.5
368,282.302,[2023-09-08 19:23:35 439],66.0,0.5
369,282.802,[2023-09-08 19:23:35 939],66.0,0.5
370,283.302,[2023-09-08 19:23:36 439],66.0,0.5
371,283.802,[2023-09-08 19:23:36 939],66.0,0.5
372,284.302,[2023-09-08 19:23:37 439],66.0,0.5
373,284.802,[2023-09-08 19:23:37 939],67.0,0.5
374,285.302,[2023-09-08 19:23:38 439],67.0,0.5
375,285.802,[2023-09-08 19:23:38 939],67.0,0.5
376,286.302,[2023-09-08 19:23:39 439],67.0,0.5
377,286.802,[2023-09-08 19:23:39 939],67.0,0.5
378,287.302,[2023-09-08 19:23:40 439],67.0,0.5
379,287.802,[2023-09-08 19:23:40 939],67.0,0.5
380,288.302,[2023-09-08 19:23:41 439],67.0,0.5
381,288.802,[2023-09-08 19:23:41 939],67.0,0.5
382,289.302,[2023-09-08 19:23:42 439],67.0,0.5
383,289.802,[2023-09-08 19:23:42 939],67.0,0.5
384,290.302,[2023-09-08 19:23:43 439],67.0,0.5
385,290.802,[2023-09-08 19:23:43 939],67.0,0.5
386,291.302,[2023-09-08 19:23:44 439],67.0,0.5
387,291.802,[2023-09-08 19:23:44 939],67.0,0.5
388,292.302,[2023-09-08 19:23:45 439],67.0,0.5
389,292.802,[2023-09-08 19:23:45 939],67.0,0.5
390,293.302,[2023-09-08 19:23:46 439],67.0,0.5
391,293.802,[2023-09-08 19:23:46 939],67.0,0.5
392,294.302,[2023-09-08 19:23:47 439],67.0,0.5
393,294.802,[2023-09-08 19:23:47 939],67.0,0.5
394,295.302,[2023-09-08 19:23:48 439],67.0,0.5
395,295.802,[2023-09-08 19:23:48 939],67.0,0.5
396,296.302,[2023-09-08 19:23:49 439],67.0,0.5
397,296.802,[2023-09-08 19:23:49 939],67.0,0.5
398,297.302,[2023-09-08 19:23:50 439],67.0,0.5
399,297.802,[2023-09-08 19:23:50 939],67.0,0.5
400,298.302,[2023-09-08 19:23:51 439],67.0,0.5
401,298.802,[2023-09-08 19:23:51 939],67.0,0.5
402,299.302,[2023-09-08 19:23:52 439],67.0,0.5
403,299.802,[2023-09-08 19:23:52 939],67.0,0.5
404,300.302,[2023-09-08 19:23:53 439],67.0,0.5
405,300.802,[2023-09-08 19:23:53 939],67.0,0.5
406,301.302,[2023-09-08 19:23:54 439],67.0,0.5
407,301.802,[2023-09-08 19:23:54 939],67.0,0.5
408,302.302,[2023-09-08 19:23:55 439],67.0,0.5
409,302.802,[2023-09-08 19:23:55 939],66.0,0.5
410,303.302,[2023-09-08 19:23:56 439],66.0,0.5
411,303.802,[2023-09-08 19:23:56 939],66.0,0.5
412,304.302,[2023-09-08 19:23:57 439],66.0,0.5
413,304.802,[2023-09-08 19:23:57 939],66.0,0.5
414,305.302,[2023-09-08 19:23:58 439],66.0,0.5
415,305.802,[2023-09-08 19:23:58 939],66.0,0.5
416,306.302,[2023-09-08 19:23:59 439],66.0,0.5
417,306.802,[2023-09-08 19:23:59 939],66.0,0.5
418,307.302,[2023-09-08 19:24:00 439],67.0,0.5
419,307.802,[2023-09-08 19:24:00 939],67.0,0.5
420,308.302,[2023-09-08 19:24:01 439],69.0,0.5
421,308.802,[2023-09-08 19:24:01 939],70.0,0.5
422,309.302,[2023-09-08 19:24:02 439],75.0,0.5
423,309.802,,77.5,
424,310.302,,77.5,
425,310.802,,77.5,
426,311.302,,77.5,
427,311.802,,77.5,
428,312.302,,77.5,
429,312.802,[2023-09-08 19:24:05 939],80.0,3.5
430,313.302,,82.5,
431,313.802,,82.5,
432,314.302,,82.5,
433,314.802,,82.5,
434,315.302,[2023-09-08 19:24:08 439],85.0,2.5
435,315.802,[2023-09-08 19:24:08 939],85.0,0.5
436,316.302,[2023-09-08 19:24:09 439],85.0,0.5
437,316.802,[2023-09-08 19:24:09 939],85.0,0.5
438,317.302,[2023-09-08 19:24:10 439],85.0,0.5
439,317.802,[2023-09-08 19:24:10 939],85.0,0.5
440,318.302,[2023-09-08 19:24:11 439],85.0,0.5
441,318.802,[2023-09-08 19:24:11 939],85.0,0.5
442,319.302,[2023-09-08 19:24:12 439],85.0,0.5
443,319.802,[2023-09-08 19:24:12 939],85.0,0.5
444,320.302,[2023-09-08 19:24:13 439],85.0,0.5
445,320.802,[2023-09-08 19:24:13 939],85.0,0.5
446,321.302,[2023-09-08 19:24:14 439],85.0,0.5
447,321.802,[2023-09-08 19:24:14 939],84.0,0.5
448,322.302,[2023-09-08 19:24:15 439],84.0,0.5
449,322.802,[2023-09-08 19:24:15 939],85.0,0.5
450,323.302,[2023-09-08 19:24:16 439],86.0,0.5
451,323.802,[2023-09-08 19:24:16 939],86.0,0.5
452,324.302,[2023-09-08 19:24:17 439],89.0,0.5
453,324.802,[2023-09-08 19:24:17 939],90.0,0.5
454,325.302,[2023-09-08 19:24:18 439],92.0,0.5
455,325.802,[2023-09-08 19:24:18 939],93.0,0.5
456,326.302,[2023-09-08 19:24:19 439],94.0,0.5
457,326.802,[2023-09-08 19:24:19 939],96.0,0.5
458,327.302,[2023-09-08 19:24:20 439],98.0,0.5
459,327.802,[2023-09-08 19:24:20 939],99.0,0.5
460,328.302,[2023-09-08 19:24:21 439],100.0,0.5
461,328.802,[2023-09-08 19:24:21 939],101.0,0.5
462,329.302,[2023-09-08 19:24:22 439],101.0,0.5
463,329.802,[2023-09-08 19:24:22 939],102.0,0.5
464,330.302,[2023-09-08 19:24:23 439],103.0,0.5
465,330.802,[2023-09-08 19:24:23 939],103.0,0.5
466,331.302,[2023-09-08 19:24:24 439],104.0,0.5
467,331.802,[2023-09-08 19:24:24 939],103.0,0.5
468,332.302,[2023-09-08 19:24:25 439],102.0,0.5
469,332.802,[2023-09-08 19:24:25 939],100.0,0.5
